Country,Year,Percent Population with Diabetes
Saudi Arabia,2000,9.419714582742653
Saudi Arabia,2011,16.21081817754594
Saudi Arabia,2021,17.665731184617865
Saudi Arabia,2030,20.24745693235386
Saudi Arabia,2045,22.841548932972103
United Arab Emirates,2011,12.574909126633266
United Arab Emirates,2021,12.298469672711025
United Arab Emirates,2030,13.776441407712467
United Arab Emirates,2045,16.06095847264622
Zimbabwe,2000,1.0251665433012582
Zimbabwe,2011,8.93636348889646
Zimbabwe,2021,1.4963154638015412
Zimbabwe,2030,1.5615766781204177
Zimbabwe,2045,1.731838142332408
United Kingdom,2000,3.5227436476295693
United Kingdom,2011,6.837063269445764
United Kingdom,2021,8.167715827338128
United Kingdom,2030,8.281398753570086
United Kingdom,2045,8.541952086316716
United States of America,2000,8.038678247694405
United States of America,2011,10.941547419614325
United States of America,2021,13.575420100873933
United States of America,2030,13.964367564857108
United States of America,2045,14.088968450950725
Thailand,2000,3.7453155260444175
Thailand,2011,8.177762385919166
Thailand,2021,11.6166093808343
Thailand,2030,12.565645259083066
Thailand,2045,13.553737832265078
Philippines,2000,3.1221253173147008
Philippines,2011,8.219943936775955
Philippines,2021,6.447365267308223
Philippines,2030,6.931953455813132
Philippines,2045,7.916458308277578
Portugal,2000,5.431659597756191
Portugal,2011,12.721701873256277
Portugal,2021,13.010758317409627
Portugal,2030,13.59426592574696
Portugal,2045,14.512753042490207
Finland,2000,4.253551326722058
Finland,2011,8.70822457648805
Finland,2021,9.674718672280909
Finland,2030,9.660191763127827
Finland,2045,9.731311109400261
Bulgaria,2000,4.14034516444155
Bulgaria,2011,9.253908017964697
Bulgaria,2021,9.934763061735952
Bulgaria,2030,10.228430088753091
Bulgaria,2045,10.511869793422257
Brazil,2000,3.231834112719782
Brazil,2011,9.719144840259135
Brazil,2021,10.494887831116992
Brazil,2030,11.874593480743727
Brazil,2045,13.726326938557905
Afghanistan,2011,5.958639772810019
Afghanistan,2021,8.647610025996114
Afghanistan,2030,8.557329142888651
Afghanistan,2045,9.43875914282048
Albania,2000,4.997350291467939
Albania,2011,2.9506536549438405
Albania,2021,11.464574417498811
Albania,2030,12.662888146102794
Albania,2045,13.732581640251038
Australia,2000,5.950041885614196
Australia,2011,8.102311990117448
Australia,2021,8.210778917705076
Australia,2030,8.615819927836784
Australia,2045,8.791009112631397
Austria,2000,3.8453898361198475
Austria,2011,9.083678014635698
Austria,2021,6.595757236007435
Austria,2030,7.055069723469629
Austria,2045,7.593757634986563
Cameroon,2000,0.8956317795367927
Cameroon,2011,5.181679136869084
Cameroon,2021,4.839451508041067
Cameroon,2030,5.1759235766505185
Cameroon,2045,5.806767064345785
Chile,2000,1.3939393939393938
Chile,2011,10.18877616540388
Chile,2021,12.694641235240688
Chile,2030,13.90199559991794
Chile,2045,15.035558209603431
China,2000,2.66121642196782
China,2011,9.2928206912274
China,2021,13.04395492873445
China,2030,14.835549328871775
China,2045,16.354987716425224
Congo,2000,0.6841686555290374
Congo,2011,4.685487865279842
Congo,2021,5.554334285923646
Congo,2030,5.7658462999692714
Congo,2045,6.160496147340726
Costa Rica,2000,3.3814523184601923
Costa Rica,2011,8.817791650409676
Costa Rica,2021,10.032470235617351
Costa Rica,2030,11.255048388325841
Costa Rica,2045,12.686620643527696
Croatia,2000,5.266182698124622
Croatia,2011,6.603090294543698
Croatia,2021,6.953934678131232
Croatia,2030,7.2781893285085175
Croatia,2045,7.568896869388711
Cuba,2000,8.5526147551464
Cuba,2011,11.361436453392702
Cuba,2021,8.99966899943257
Cuba,2030,9.370433366073353
Cuba,2045,9.843221560967937
Czechia,2000,11.6802203567681
Czechia,2011,6.9246537051990815
Czechia,2021,9.82044250313326
Czechia,2030,10.12311901504788
Czechia,2045,10.746923516278104
Democratic Republic of the Congo,2000,1.1984059208653572
Democratic Republic of the Congo,2011,2.5288724765784254
Democratic Republic of the Congo,2021,4.766982484354788
Democratic Republic of the Congo,2030,4.932467930475899
Democratic Republic of the Congo,2045,5.371063299033365
Denmark,2000,14.578250713729563
Denmark,2011,7.506830087475248
Denmark,2021,7.290807550015317
Denmark,2030,7.1181124479191045
Denmark,2045,7.2761453836513015
Dominica,2000,14.871794871794872
Dominica,2011,9.133489461358314
Dominica,2021,13.23529411764706
Dominica,2030,14.257028112449799
Dominica,2045,15.430861723446892
El Salvador,2000,4.839676356008391
El Salvador,2011,8.49712993564098
El Salvador,2021,7.117220499548307
El Salvador,2030,7.8712427097353075
El Salvador,2045,9.195825659914057
Eswatini,2011,2.358730697437638
Eswatini,2021,3.6278914960891995
Eswatini,2030,3.788498228400109
Eswatini,2045,4.143754909662215
France,2000,3.951630214420302
France,2011,7.303571025739358
France,2021,8.567051972883712
France,2030,8.950891902297128
France,2045,9.169599729188999
French Guiana,2011,8.921933085501859
Gabon,2000,0.8986928104575163
Gabon,2011,8.448275862068966
Gabon,2021,6.491372226787181
Gabon,2030,7.090824032613781
Gabon,2045,7.34081699194187
Germany,2000,4.202088114555387
Germany,2011,7.995822341240211
Germany,2021,9.995373034950514
Germany,2030,10.655054519781398
Germany,2045,10.694612859015509
Malaysia,2000,4.854771784232366
Malaysia,2011,11.664281979233108
Malaysia,2021,20.024038787396808
Malaysia,2030,20.041399775053247
Malaysia,2045,22.455933174721707
Maldives,2011,7.6420311714429365
Maldives,2021,6.6716085989621945
Maldives,2030,9.314495028780744
Maldives,2045,11.361104923145467
Mexico,2000,7.951752637111683
Mexico,2011,14.848681553286019
Mexico,2021,16.865213943846307
Mexico,2030,17.935570404895028
Mexico,2045,19.524179975039313
Micronesia (Federated States of),2011,13.391304347826086
Micronesia (Federated States of),2021,12.700729927007298
Micronesia (Federated States of),2030,13.256113256113256
Micronesia (Federated States of),2045,14.732142857142858
Morocco,2000,2.416954474097331
Morocco,2011,6.350740811235887
Morocco,2021,9.701660498149444
Morocco,2030,10.536942509444955
Morocco,2045,11.322553568883329
Nigeria,2000,0.4132541295810227
Nigeria,2011,4.042942950097549
Nigeria,2021,3.742805673653375
Nigeria,2030,3.922508703721049
Nigeria,2045,4.170236135712388
Pakistan,2000,11.799412009504504
Pakistan,2011,6.722500449987824
Pakistan,2021,26.686198253976478
Pakistan,2030,28.16205040037435
Pakistan,2045,30.369337685626167
Peru,2000,3.7166772174157696
Peru,2011,5.382861909196341
Peru,2021,5.900471783705317
Peru,2030,6.540866513432689
Peru,2045,7.116777117679987
Singapore,2000,11.252493019545273
Singapore,2011,11.115163197791034
Singapore,2021,14.929004383481198
Singapore,2030,17.425089892129446
Singapore,2045,18.83933436727166
Thailand,2000,3.7453155260444175
Thailand,2011,8.177762385919166
Thailand,2021,11.6166093808343
Thailand,2030,12.565645259083066
Thailand,2045,13.553737832265078
