Country,Year,Daily Caloric Supply,Daily Protein Supply,Animal Protein Supply,Vegetal Protein Supply,Daily Meat Consumption,Diabetes Prevalence
Afghanistan,2011,2107.0,59.7209,11.91329,47.81791,88.03995342465753,5.958639772810019
Albania,2000,2734.0,93.883224,40.39295,53.50066,209.8161831232877,4.997350291467939
Albania,2011,3132.0,109.09557,55.90088,53.194695,340.2748422465754,2.9506536549438405
Australia,2000,2991.0,102.58387,68.73018,33.853687,844.3530701369864,5.950041885614196
Australia,2011,3237.0,111.55573,76.45388,35.10185,935.2812838356165,8.102311990117448
Austria,2000,3726.0,106.15674,64.92751,41.229225,745.7951200000001,3.845389836119848
Austria,2011,3735.0,108.10303,65.385704,42.70724,780.2022008219179,9.083678014635698
Brazil,2000,2880.0,78.801926,40.948822,37.853104,588.2769490410959,3.231834112719782
Brazil,2011,3286.0,93.36316,50.209606,43.153553,693.980218630137,9.719144840259135
Bulgaria,2000,2813.0,84.76559,40.61911,44.14648,423.44853315068497,4.14034516444155
Bulgaria,2011,2769.0,78.953865,38.21989,40.73397,416.30358904109596,9.253908017964696
Cameroon,2000,2116.0,58.048195,12.390651,45.646988,114.72346969863014,0.8956317795367927
Cameroon,2011,2573.0,75.0817,13.750665,61.331036,104.91259567123289,5.181679136869084
Chile,2000,2833.0,79.10311,38.162365,40.94074,491.0423438356165,1.3939393939393938
Chile,2011,2956.0,86.47322,43.0911,43.382122,587.5193202739725,10.18877616540388
China,2000,2808.0,84.79138,27.531118,57.260265,334.56826301369864,2.66121642196782
China,2011,3081.0,97.271095,37.376846,59.894245,426.39384547945207,9.2928206912274
Congo,2000,2177.0,43.039387,13.934189,29.105198,109.31904115068494,0.6841686555290374
Congo,2011,2185.0,42.864506,17.995232,24.869274,156.67845479452058,4.685487865279842
Costa Rica,2000,2800.0,73.32227,34.52784,38.794437,314.28170087671236,3.3814523184601923
Costa Rica,2011,2882.0,73.55498,37.846657,35.698418,374.25416778082194,8.817791650409676
Croatia,2000,2556.0,65.61324,30.10594,35.5073,263.3721330410959,5.266182698124622
Croatia,2011,2997.0,81.21712,44.960545,36.25658,445.7396267397261,6.603090294543698
Cuba,2000,3031.0,69.872,23.086746,46.785263,222.09415315068497,8.5526147551464
Cuba,2011,3285.0,84.87387,29.219526,55.65435,352.23868065753425,11.361436453392702
Czechia,2000,3079.0,90.42487,54.761677,35.653175,581.3717736986301,11.6802203567681
Czechia,2011,3251.0,91.80165,52.780136,39.011406,609.7620397260274,6.9246537051990815
Denmark,2000,3313.0,99.81023,62.029068,37.78116,523.9420493150685,14.578250713729563
Denmark,2011,3348.0,104.46068,65.331726,39.13896,546.281186739726,7.506830087475248
Dominica,2000,3063.0,93.667816,54.144665,39.51291,519.2918564383561,14.871794871794872
Dominica,2011,2962.0,87.87486,47.62384,40.2407,487.3447025753425,9.133489461358314
El Salvador,2000,2541.0,64.46561,19.09166,45.373943,157.95784712328768,4.839676356008391
El Salvador,2011,2537.0,71.60909,24.93567,46.673424,209.82718065753423,8.49712993564098
Eswatini,2011,2283.0,51.96205,16.438164,35.51419,191.46835490410965,2.358730697437638
Finland,2000,3151.0,101.16593,62.967472,38.198467,491.60378860273966,4.253551326722058
Finland,2011,3305.0,113.908615,70.87402,43.04459,558.9242673972605,8.70822457648805
France,2000,3605.0,118.546196,78.616974,39.92923,758.448965479452,3.951630214420302
France,2011,3514.0,112.44672,70.52482,41.921906,676.7715923287672,7.303571025739358
